id,Pedigree,Range,Row,Rep,DTA (DAS),DTS  (DAS),PHT (in),FHT (in),EHT (in),Yield (t/ha),YieldMoist (t/ha)
CS17-G2FE-094,NILASQ4G61I04S3/LH123HT,5,309,1,68,69,95,76,43,10.96917611,11.52860409
CS17-G2FE-095,NILASQ4G61I11S2/LH123HT,5,311,1,68,69,103,70,49,11.93636078,12.55347063
CS17-G2FE-096,NILASQ4G61I05S3/LH123HT,5,313,1,68,69,93,75,47,10.92732677,11.46167305
CS17-G2FE-097,NILASQ4G61I07S3/LH123HT,5,315,1,70,70,103,79,45,10.21588805,10.72974722
CS17-G2FE-098,NILASQ4G61I12S2/LH123HT,5,317,1,68,69,96,78,46,10.14148923,10.69318624
CS17-G2FE-099,2369/LH123HT,5,319,1,68,69,94,77,48,11.16912294,11.70412393
CS17-G2FE-100,2369/3IIH6,6,319,1,65,66,94,72,43,9.360301613,9.841421116
CS17-G2FE-101,B14A/OH43,6,317,1,65,68,89,71,42,12.51295163,13.17864066
CS17-G2FE-102,LH198/PHZ51,6,315,1,67,68,98,74,48,9.267303087,9.715840557
CS17-G2FE-103,TX714/PHZ51,6,313,1,66,67,96,76,53,9.518399107,9.994319062
CS17-G2FE-104,REV28HR20 (2016),6,311,1,69,71,103,82,48,15.30290741,16.02979551
CS17-G2FE-105,PHG29/PHG47,6,309,1,62,62,83,62,40,9.090605889,9.569680819
CS17-G2FE-106,GEMN-0260/3IIH6,6,307,1,65,65,80,59,37,7.951373949,8.406987676
CS17-G2FE-107,PHP02/PHB47,6,305,1,64,65,91,68,44,9.485849623,9.992393993
CS17-G2FE-108,PHG80/PHZ51,6,303,1,65,67,92,73,48,8.495415324,8.976255831
CS17-G2FE-109,G7601VTTP (2017),6,301,1,69,68,96,74,43,13.33598859,14.00278802
CS17-G2FE-110,LH123HT/3IIH6,6,299,1,67,68,99,79,48,9.695096306,10.25062532
CS17-G2FE-111,PB80/PHZ51,6,297,1,67,68,94,74,50,10.54138289,11.09796791
CS17-G2FE-112,F42/H95,6,295,1,67,69,94,70,48,10.96452618,11.51165604
CS17-G2FE-113,GEMN-0268/3IIH6,6,293,1,66,66,94,71,47,10.08569011,10.67973726
CS17-G2FE-114,B37/OH43,6,291,1,64,67,89,64,41,9.23940353,9.742951022
CS17-G2FE-115,B14A/MO17,6,289,1,66,67,85,68,48,11.87126181,12.55385936
CS17-G2FE-116,W10004_0216/PHZ51,6,287,1,65,68,102,77,50,9.606747706,10.1668211
CS17-G2FE-117,PHB47/PHZ51,6,285,1,63,63,102,77,43,9.63929719,10.19066499
